"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Ссылка","Краткое описание","Ключевые слова автора"
"Najafi, G.; Shadidi, B.; Mamat, R.; Safieddin Ardebili, S.M.; Hazrati, S.; Ebadi, M.-T.; Ghazali, M.F.","Najafi, Gholamhassan (22938428000); Shadidi, Behdad (55256264400); Mamat, Rizalman Bin (37057681900); Safieddin Ardebili, Seyed Mohammad (56732981700); Hazrati, Saeid (43261216900); Ebadi, Mohammad Taghi (16039372800); Ghazali, M. F. (57948707700)","22938428000; 55256264400; 37057681900; 56732981700; 43261216900; 16039372800; 57948707700","Multi-objective optimization of the performance and emissions characteristics of a CI engine powered by Pyrus glabra biodiesel as a novel feedstock using response surface method","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189201278&partnerID=40&md5=67e543b495ff6ebf2b10939afb04504c","Finding new renewable sources for the production of biofuels has attracted a lot of attention in recent years due to the reduction of fossil resources. A new biodiesel feedstock as a renewable source is presented in this study. The purpose of this study was to evaluate the performance and emissions of diesel engines powered by diesel and biodiesel fuel blends by volume percentages of 5, 10, 15 and 20. The multi-objective optimization is applied to minimize engine emissions and maximize the performance of the engine. The obtained results revealed that engine load and biodiesel ratio have a significant effect on the engine emissions and parameters at the 5% level. The results revealed that when the diesel engine was operated with an engine load of 70% and biodiesel concentration of 9% as an optimal condition. The optimal value of the BTE, BSFC, brake power, and brake torque were 20%, 307 g/kW.h, 24 kW, and 94 Nm, respectively. The optimal value of engine-out emissions was 12 ppm, 9%, and 209 ppm for HC, CO<inf>2</inf>, and NO<inf>X</inf> emissions, respectively. The desirability value was found to be 73% at this optimal engine working condition. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","characterizations; rosaceae; transesterification; Waste to biodiesel"
"Singh, S.K.; Chauhan, A.; Sarkar, B.","Singh, Shubham Kumar (57208179791); Chauhan, Anand (57427305800); Sarkar, Biswajit (36806631400)","57208179791; 57427305800; 36806631400","Strategy planning for sustainable biodiesel supply chain produced from waste animal fat","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181086296&partnerID=40&md5=d123e28132220bed0d1b0a8366003715","The rapid depletion of fossil fuels and the adverse environmental effects of combustion has growing concerns about the sustainability of fossil fuel and the world turns its focus on cleaner energy sources. Animal fat-based biodiesel is a sensible alternative to non-renewable energy sources as it's produced from inedible, affordable, and easily available biomass. The effective design of a biodiesel supply chain is pivotal for making it more advantageous than fossil fuels from a social, economic, and environmental standpoint. This model reduces the biodiesel supply chain cost while minimizing its environmental impact and maximizing its social impact. It is planned to have multi-supply sites for providing beef, chicken, and mutton fat, and numerous biorefineries, rendering factories, and distribution depots. The augmented ϵ-constraint approach combined with the lexicographic optimization technique is used to solve the multi-objective optimization model. A numerical example is analyzed, and the results show that the environmental impact of establishing biodiesel production facilities is 99.5% of the environmental impact of the entire biodiesel supply chain and that the cost of installing biodiesel production plants is 99% of the cost of the entire biodiesel supply chain. A heterogeneous fleet of trucks is incorporated to distribute the material throughout the supply chain whereby the impact of transportation on the environment is 0.0007% of the total environmental impact of the biodiesel supply chain and transportation cost amount to 0.0014% of the total costs of the biodiesel supply chain. The model demonstrates the biodiesel supply chain network under a sustainability framework and addresses the environmental and social impact based on the life cycle assessment which accelerates the transition to a renewable energy future. © 2023 Institution of Chemical Engineers","Biofuels; Decision making; Emission reduction; Optimization; Supply chains"
"Zhang, Y.","Zhang, Yinghua (57195318336)","57195318336","Multi-objective diesel engine emission management and control technology based on SVM and NSGA-II","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178935174&partnerID=40&md5=8d43f1c6042f7210a75ef48414f4ced0","To improve the emission control effect of diesel engines, a pre-emission model for diesel engines using biofuels is constructed using support vector machine. Considering that traditional support vector machine training relies on initial parameters and is prone to local convergence, a genetic algorithm model is adopted to construct an improved diesel engine pre-emission model. At the same time, with the optimization goal of diesel engine emissions of particles and gases, the improved diesel engine pre-emission model is used to obtain emission data as training parameters. The second generation non-dominated genetic algorithm is introduced to construct a multi-objective diesel engine emission control model, achieving optimal control of diesel engine emissions. In the experimental analysis of diesel engine pre emission models, the proposed pre emission model has a better prediction effect in nitrogen oxides, with an average prediction accuracy of 0.986, which is better than the Particle Swarm Optimization-Support Vector Machine model's 0.906, and is more accurate in detecting emissions. Simultaneously predicting particulate matter, the average prediction accuracy of the proposed model is 0.978, while the prediction accuracy of the Particle Swarm Optimization-Support Vector Machine model is 0.902, indicating that the overall prediction effect of the proposed method is better. In the experimental analysis of multi-objective optimization models, the proposed multi-objective optimization model performs best in diesel emission optimization. The proposed model can achieve convergence in the shortest time, and the minimum nitrogen oxide emissions are 210.7 ppm. Compared with Non-dominated Sorting Genetic Algorithm II and Multi-Objective Particle Swarm Optimization models, the particle emission optimization effect is improved by 23.5 % and 18.6 %. From this, it can be seen that the proposed method has excellent performance in diesel engine emission monitoring and pollutant optimization, surpassing related technologies in the same period. The research technology provides important technical references for the monitoring and emission control of harmful substances in diesel engines. © 2023 The Author","Biofuels; Diesel engine; Emission; Multi-objective optimization; Support vector"
"Tan, D.; Li, D.; Wang, S.; Zhang, Z.; Tian, J.; Li, J.; Lv, J.; Zheng, W.; Ye, Y.","Tan, Dongli (57206727325); Li, Dongmei (58622091700); Wang, Su (57431385900); Zhang, Zhiqing (57171444100); Tian, Jie (57225961044); Li, Jiangtao (57222625250); Lv, Junshuai (57673962800); Zheng, Wenling (57699641900); Ye, Yanshuai (57709905500)","57206727325; 58622091700; 57431385900; 57171444100; 57225961044; 57222625250; 57673962800; 57699641900; 57709905500","Evaluation and optimization of hydrogen addition on the performance and emission for biodiesel dual-fuel engines with different blend ratios based on the response surface method","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172455087&partnerID=40&md5=ded490bb774c387ea62683e257ceabbe","Problems such as air pollution caused by engine burning fossil fuels are becoming increasingly severe. Consequently, the pursuit of clean and efficient energy alternatives, as well as enhancements in the combustion of fossil fuels, have emerged as potential avenues for resolving these challenges. Firstly, a 3D simulation model of the engine is made using the CONVERGE program. Then, the biodiesel-hydrogen (0%, 5%, 10%, and 15%) blends are employed to investigate the combustion processes for the diesel-fuel engine at various loading (50%, 75%, and 100%). Finally, the response surface approach is employed to optimize the biodiesel-hydrogen engines' combustion and emission parameters. The findings demonstrate that combustion pressure and temperature in engine cylinders will also rise as the hydrogen level increases. The hydrogen addition to the engine can enhance its combustion and emission properties. The outcomes prove that 0.656 is the ideal value for multi-objective optimization analysis using the response surface method. The engine reaches optimal working conditions when the hydrogen energy percentage is 6.9%, the load is 100%, and EGR is 7.7%. At this moment, the BSFC, BTE, HC, and NO<inf>x</inf> emissions were 208.31 g/(kW·h), 41.06%, 340 ppm, and 490 ppm, respectively. © 2023 Elsevier Ltd","Biodiesel-hydrogen; Combustion and emission characteristics; Engine; Response surface methodology"
"Sonthalia, A.; Kumar, N.","Sonthalia, A. (55129794600); Kumar, Naveen Keerthi (24477571300)","55129794600; 24477571300","Performance Improvement and Emission Reduction Potential of Blends of Hydrotreated Used Cooking Oil, Biodiesel and Diesel in a Compression Ignition Engine","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176327276&partnerID=40&md5=0d29a4c569f3b6c1c3caeaf600457b34","The positive effect of decarbonizing the transport sector by using bio-based fuels is high. Currently, biodiesel and ethanol are the two biofuels that are blended with fossil fuels. Another technology, namely, hydroprocessing, is also gaining momentum for producing biofuels. Hydrotreated vegetable oil (HVO) produced using this process is a potential drop-in fuel due to its improved physiochemical properties. This study aimed to reduce the fossil diesel content by blending 20% and 30% HVO and 5%, 10% and 15% waste cooking oil biodiesel on a volume basis. The blends were used to conduct a thorough performance examination of a single-cylinder compression ignition engine. The thermal efficiency of the engine was enhanced by the addition of biodiesel to the blend. The efficiency increased as the proportion of biodiesel in the mix increased, although it was still less efficient than diesel. The maximum improvement in thermal efficiency of 4.35% was observed with 20% blending of HVO and 15% blending of biodiesel compared with 20% blending of HVO and diesel. However, the HC (decrease of 30%), CO (decrease of 23.5%) and smoke (decrease of 21.1%) emissions were observed to be the lowest with 30% blending of HVO and 15% blending of biodiesel. A fuzzy-logic-based Taguchi method and Grey’s method were then applied to find the best blend of HVO, biodiesel and diesel. The combination of the two methods made it easier to carry out multi-objective optimization. The brake thermal efficiency (BTE), smoke and NO emissions were selected as the output parameters to optimize the HVO and biodiesel blend. The optimization study showed that 30% blending of HVO and 15% blending of biodiesel was the best blend, which was authenticated using the confirmation experiment. © 2023 by the authors.","fuzzy logic; hydrotreated oil; Taguchi method; ternary blends; used cooking oil biodiesel"
"Zhang, X.; Luo, Q.; Zhan, H.; Evrendilek, F.; Yang, R.; Zeng, W.; Li, Y.; Dong, S.; Huang, W.; Liu, J.","Zhang, Xiaogang (59293664800); Luo, Qingbao (58493100900); Zhan, Hongda (58169847900); Evrendilek, Fatih (6602148086); Yang, Ruzhu (58647388200); Zeng, Wu (58647309300); Li, Yaohuang (58646993100); Dong, Shuyu (58647070000); Huang, Wenxiao (57207962186); Liu, Jiongyong (56259100500)","59293664800; 58493100900; 58169847900; 6602148086; 58647388200; 58647309300; 58646993100; 58647070000; 57207962186; 56259100500","Pyrolytic energy performance and byproducts of Ganoderma lucidum: Their multi-objective optimization","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175718349&partnerID=40&md5=51797f873c1093473c047573b678c2ed","Fossil fuels-related environmental issues, such as global climate change and soil and water acidification, are driving countries to develop biomass energy sources. As a second-generation biofuel with a significant spatiotemporal availability for global consumption, Ganoderma lucidum (GL) calls for the characterization and multi-objective optimization of its pyrolytic performance and byproducts. The GL pyrolysis was divided into three stages, with the main stage occurring between 205 and 630 °C. The activation energy for the main stage was estimated at 221.23 kJ/mol and 222.83 kJ/mol according to the FWO and KAS methods, respectively. The primary volatile products of the GL pyrolysis between 200 and 600 °C included H<inf>2</inf>O, CH<inf>4</inf>, CO<inf>2</inf>, CO, C[dbnd]O, C-O(H), C[dbnd]C, and NH<inf>3</inf>. The multi-objective optimization indicated that the GL pyrolysis between 650 and 750 oC jointly led to maximum energy yield and minimum gas emission. Biochar produced from GL (GLB) between 400 and 600 °C enhanced its aromaticity and stabilized the functional groups in the carbon structure. GLB obtained exhibited an increased number of porous structures and decreased aromaticity. These results provide a theoretical and practical basis for enhancing and volarizing the comprehensive circularity of GL biomass. © 2023 Elsevier B.V.","Biochar; Gaseous byproducts; Pyrolysis; Second-generation biofuel; Thermodynamics"
"Kopton, J.; Rihko-Struckmann, L.K.; König-Mattern, L.; Sundmacher, K.","Kopton, Johannes (58615776200); Rihko-Struckmann, Liisa K. (6602401635); König-Mattern, Laura (57219117440); Sundmacher, Kai (55147531700)","58615776200; 6602401635; 57219117440; 55147531700","Superstructure optimization of a microalgal biorefinery design with life cycle assessment-based and economic objectives","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172088698&partnerID=40&md5=cb4fe6639a302692f747c3fb0e0952e7","We present a multi-objective optimization framework for the design of an algal biorefinery with multiple target products. Four environmental endpoint indicators and the economic performance are used as objective functions following the life cycle assessment (LCA) methodology. The process alternatives are modeled as a superstructure covering a total of 720 feasible routes. The proposed method optimizes not only the superstructure route but simultaeously discrete and continuous parameters within the process units. A multi-objective genetic algorithm (MOGA) is used to solve this nonlinear mixed-integer optimization problem to design the extraction procedures for all macromolecular fractions. For the extractions, liquid–liquid equilibria (LLE) are predicted with quantum chemical calculations. A microalgae biorefinery for the marine diatom Phaeodactylum tricornutum is considered as case study, including the cultivation and extraction-supported fractionation of the wet algal biomass to harvest the target products eicosapentaenoic acid (EPA), laminarin and fucoxanthin. 2-Butanol proved to be the preferred solvent for the initial extraction step of wet biomass. Nutrients and solvent production cause most of the environmental impact of the overall process. A Python package for integrating LCA with multi-objective superstructure optimization is provided as open source software. It is applicable to any process system design task involving environmental objectives. © 2023 The Authors. Biofuels, Bioproducts and Biorefining published by Society of Industrial Chemistry and John Wiley & Sons Ltd.","biorefinery; LCA; life cycle optimization; microalgae; multi-objective optimization; process design; superstructure; sustainable chemistry"
"Peer, M.N.; Krishnaveni, K.","Peer, Mohamed Nishath (59158688700); Krishnaveni, Anbalagan (53863683500)","59158688700; 53863683500","Novel FTIR and visible infrared imaging assessment of binary biofuel stability and abated NOx for clean environment assisting energy approach","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134330543&partnerID=40&md5=7d494030bb44c0ebee96ea01d39023ab","To compensate the oil demand and pollution, scientists explore biodiesel as a pollution free alternate energy. But depending on one particular species of feedstock will lead to its extinction like diesel. For this intent, this research proposes a novelty on blending of binary non-edible high oil yielding species. As biodiesel is a natural constituent with elevated oxygen content, a stability analysis has to be performed to diminish its rapid decay. For stabilizing fuel properties synthetic antioxidants have been involved as inhibitors. Previous studies have been performed on the stability analysis individually as oxidation, thermal and storage stability without analyzing them mutually. This research fills the key gap by deeper mutual stability analysis, as the output parameters of these three stabilities are interrelated. Few samples have shown best stability output parameters which challenges in narrowing the best blend. To face this task, a multi objective optimization study has been done. NO<inf>x</inf> emission has been reduced with the aid of antioxidants as a twin reward. Two novel assessment tools for validating are, i) FTIR, by which the impact of molecular arrangements on stability variation has been evaluated and ii) Using Infrared Imaging Technique, by which the NO<inf>X</inf> has been analyzed visually correlating the emission level and engine combustion temperature. © The Author(s) 2022.","Dual biodiesel; EDAS; emission; FTIR; IIT; TOPSIS"
"Velásquez-Henao, J.D.; Cadavid, L.; Franco, C.J.","Velásquez-Henao, Juan David (26649280600); Cadavid, Lorena (55250825300); Franco, Carlos J. (57218455025)","26649280600; 55250825300; 57218455025","Intelligence Techniques in Sustainable Energy: Analysis of a Decade of Advances","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173793987&partnerID=40&md5=7f87894327631ddb779e8289a4e3ba85","In the last decade, many artificial intelligence (AI) techniques have been used to solve various problems in sustainable energy (SE). Consequently, an increasing volume of research has been devoted to this topic, making it difficult for researchers to keep abreast of its developments. This paper analyzes 18,715 articles—about AI techniques used for SE—indexed in Scopus and published from 2013 to 2022, which were retrieved and selected following a novel iterative methodology. Besides calculating basic bibliometric indicators, we used clustering techniques and a co-occurrence analysis of author keywords to discover and characterize dominant themes in the literature. As a result, we found eight dominant themes in SE (solar energy, smart grids and microgrids, fuel cells, hydrogen, electric vehicles, biofuels, wind energy, and energy planning) and nine dominant techniques in AI (genetic algorithms, support vector machines, particle swarm optimization, differential evolution, classical neural networks, fuzzy logic controllers, reinforcement learning, deep learning, and multi-objective optimization). Each dominant theme is discussed in detail, highlighting the most relevant work and contributions. Finally, we identified the AI techniques most widely used in each SE area to solve its specific problems. © 2023 by the authors.","artificial intelligence; bibliometric analysis; machine learning; renewable energy; sustainability; tech mining"
"Murugapoopathi, S.; Surendarnath, S.; Ramachandran, T.; Amesho, K.T.T.; Sampath, S.","Murugapoopathi, S. (57204110405); Surendarnath, S. (56202760900); Ramachandran, T. (56689514600); Amesho, Kassian T.T. (57200176733); Sampath, Senthil (57671874400)","57204110405; 56202760900; 56689514600; 57200176733; 57671874400","Energy and exergy analysis of VCR engine fueled with rubber-seed oil methyl ester using response surface methodology","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163759658&partnerID=40&md5=bd94f62d0a379b25e37f47f64692597f","This study presents a comprehensive analysis of the thermodynamic performance of a variable compression ratio engine fueled with rubber-seed oil methyl ester blended with diesel. The objective is to evaluate the energy and exergy characteristics according to the first and second laws of thermodynamics for various compression ratios and supercharging pressures. A 3.5 kW engine with compression ratios values ranging from 18:1 to 22:1 and SC pressures of 0, 0.25, and 0.5 bar (g) at 80% load was considered. The inlet manifold pressure was controlled using a centrifugal-type blower (1.5 m3/min, 350 W, 240 V AC) with an adjustable valve. Key fuel energy parameters including shaft energy, cylinder pressure, brake specific energy consumption, thermal efficiency, heat release rate, absorbed energy by cooling water, exhaust gas temperature, exergy efficiency, exergy destruction, exhaust energy, and emissions were analyzed. Results showed significant improvements in shaft energy (35.51%), thermal efficiency (35.37%), and heat release rate (25.17 J/°CA) for compression ratios 20 and supercharging pressure of 0.25 bar, with a reduction in brake specific energy consumption of 2.912 kJ/s kW. The second law efficiency and irreversibility were observed to be 60.31% and 0.0118 kW/K, respectively. Experimental findings demonstrated a reduction in carbon monoxide (25.12%) and hydrocarbon (40%) under the aforementioned conditions. Response surface methodology was employed to predict optimal operating conditions, and the equations were validated using analysis of variance and p-test. The D-optimality test facilitated the determination of optimal operating parameters for different responses through multi-objective optimization techniques. Individual desirability values were combined to obtain a composite desirability of 0.9054. The study identified compression ratios 18 with a supercharging pressure of 1.78 bar as the optimum operating condition for 20% fuel blends in a low-speed agricultural diesel engine, resulting in a remarkable improvement of 41.24% in energy efficiency and 68.45% in exergy efficiency, with minimal emissions. © 2023 Elsevier Ltd","Biodiesel; Compression ratio; Energy and exergy analysis; Entropy generation; Supercharging; Thermodynamic optimization"
"Kwon, O.; Son, M.; Kim, J.; Han, J.-H.","Kwon, Oseok (57218851521); Son, Myungsuk (37071417600); Kim, Juyeon (57200686671); Han, Jeehoon (55316276700)","57218851521; 37071417600; 57200686671; 55316276700","Organic waste derived bioethanol supply chain network: Multiobjective snapshot model with a real-Korea case study","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161011505&partnerID=40&md5=eb0d5044eea605be62b0d70d4a82d76f","Bioethanol, a promising biofuel gasoline additive, was recently produced by a new technology using acetic acid derived from organic waste. This study develops a multiobjective mathematical model with two competing minimization objectives: economy and environmental impact. The formulation is based on a mixed integer linear programming approach. The configuration of the organic-waste (OW)-based bioethanol supply chain network is optimized in terms of the number and locations of bioethanol refineries. The flows of acetic acid and bioethanol between the geographical nodes must meet the bioethanol regional demand. The model is validated in three real-scenario case studies with different OW utilization rates (30%, 50%, and 70%) in South Korea in the near future (2030). The multiobjective problem is solved using the ε-constraint method and the selected Pareto solutions balance the trade-off between the economic and environmental objectives. At the “best-choice” solution points, increasing the OW utilization rate from 30% to 70% decreased the total annual cost from 904.2 to 707.3 million $/yr and the total greenhouse emissions from 1087.2 to −15.7 CO<inf>2</inf> equiv./yr. © 2023 Elsevier Ltd","Bioeconomy; Bioethanol; Biofuel supply chain; Life cycle assessment; Multiobjective optimization; Organic waste"
"Sungur, B.; Basar, C.; Kaleli, A.","Sungur, Bilal (57191406398); Basar, Cem (58034136600); Kaleli, Alirıza (55320607500)","57191406398; 58034136600; 55320607500","Multi-objective optimisation of the emission parameters and efficiency of pellet stove at different supply airflow positions based on machine learning approach","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159879877&partnerID=40&md5=6a9b5b33b09e56ebce8e3b0d4cebc00e","The main aim of this study is to optimise the effect of burner pot design by changing supply airflow position in a pellet stove. For this purpose, the calibration model based on Gaussian Process Regression (GPR) with optimised hyper-parameters was proposed to determine the relationship between the input and output parameters of the pellet stove. The designed model was validated by the experimental data and was measured by several statistical tools. The modelling findings showed that the developed model was an efficient technique and has the potential to predict pellet stove output characteristics with high accuracy. Subsequently, a multi-objective optimisation (MOO) by genetic algorithm using this developed GPR model was implemented to design the burner pot. The optimisation process was repeated for different excess air ratios with manufactured different burner pots which have four different supply airflow distances and the performance of the burner pots with optimised geometries was compared to the average of experimental data in three total thermal power input cases. The results showed that the significant improvements on emission and efficiency performance of the pellet stove was achieved with the optimised inputs in both each thermal power inputs and global cases. © 2023 Elsevier Ltd","Biofuels; Burner pot; Emissions; Machine learning; Multi-objective optimisation; Pellet stoves"
"Chen, W.; Chang, X.; Li, J.","Chen, Wei (57087537700); Chang, Xuewu (58235863200); Li, Jianing (57576019600)","57087537700; 58235863200; 57576019600","A day-ahead optimal scheduling model of an integrated energy system for a facility agricultural–industrial park","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157968606&partnerID=40&md5=ffb1c8ba94897cece2ac0d7af62a65af","The widespread use of biogas and biomass fuels in facility agro-industrial parks has led to a significant increase in their carbon emissions. A day-ahead optimal scheduling model for an integrated energy system (IES) is proposed, that considers the coupling of biomass and power to gas (P2G) to reduce carbon emissions during the operation of an industrial park. The proposed model incorporates the two evaluation indices of the economy of and carbon emissions by the IES of the park, and formulates and solves a multi-objective optimization problem by using the ε-constraint method. From among the solutions to the Pareto front, we choose the scheduling strategy that delivers the optimal performance in case of multiple objectives by using the fuzzy decision method. Finally, the validity of the proposed model was verified by considering the IES of an agriculture–industrial park in the northwest region of China. © 2023 The Authors. IET Energy Systems Integration published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology and Tianjin University.","biofuel; distributed power generation; power generation scheduling"
"Rahmani, S.; Goli, A.","Rahmani, Sourena (58450775700); Goli, Alireza (57090489100)","58450775700; 57090489100","Robust sustainable canola oil-based biodiesel supply chain network design under supply and demand uncertainty","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163957970&partnerID=40&md5=0e028b26180dae37b64c0e8002ea28db","The excessive consumption of fossil fuels has sparked debates and caused environmental damage, leading the global community to search for a suitable alternative. To achieve sustainable development goals and prevent harmful climate scenarios, the world needs to increase its use of renewable energy. Biodiesel, a clean and eco-friendly fuel with a high flash point and more lubrication than petroleum-based fuels, and without the emission of harmful environmental gases, has emerged as one of the fossil fuel alternatives. To promote the mass-level production of biodiesel, a sustainable supply chain (SC) that does not depend on laboratory production is necessary. For this purpose, this research proposes a multi-objective mixed-integer non-linear mathematical programming (MINLP) model to design a sustainable canola oil-based biodiesel supply chain network (CO-BSCND) under supply and demand uncertainty. This mathematical model aims to minimize the total cost (TC) and total carbon emission while maximizing the total number of job opportunities simultaneously. A scenario-based robust optimization (SBRO) approach is applied to deal with uncertainty. The proposed model is implemented in a real case study in Iran, and numerical experiments and sensitivity analysis are conducted to demonstrate its applicability. The results of this research demonstrate that designing a sustainable supply chain network for the production and distribution of biodiesel fuel is achievable. Moreover, this mathematical modeling makes mass-scale production of biodiesel fuel a possibility. In addition, the SBRO method adopted in this research enables managers and researchers to explore the design conditions of the supply chain network by controlling the uncertainties that affect it. This approach allows the chain’s performance to be as close as possible to the actual conditions. As a result, the SBRO method enhances the efficiency of the supply chain network and boosts productivity toward achieving desired goals. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Biodiesel; Carbon emission; Robust optimization; Supply chain network design; Sustainability; Uncertainty"
"Teh, K.C.; Tan, J.; Chew, I.M.L.","Teh, Khaichyi (57210829563); Tan, Jully (55851192400); Chew, Irene M.L. (25927856100)","57210829563; 55851192400; 25927856100","Multiple Biogenic Waste Valorization via Pyrolysis Technologies in Palm Oil Industry: Economic and Environmental Multi-objective Optimization for Sustainable Energy System","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151148899&partnerID=40&md5=6f5ca88ca0b00071e73a7f2d96697399","Agricultural biomass is one of the major wastes in the world. Most of these wastes end up in landfills and incineration, causing significant environmental problems that are detrimental to human health and other species on the Earth. Thermochemical conversion can solve this issue by utilizing the energy embedded inside the biomass, mainly organic matter, into high-grade fuels and chemicals. Fast pyrolysis is one of the technologies that can convert biomass waste to a high yield of bio-oil, which can then be used as biofuels in vehicles. In this study, palm oil biomass wastes are valorized to generate bio-oil sustainably via several pyrolysis technologies such as conventional pyrolysis, microwave pyrolysis, and thermo-catalytic pyrolysis in a multi-objective optimization framework. The formulated multi-objective mixed-integer linear programming problems are solved using the ɛ-constraint method. The Pareto-optimal solutions have illustrated a clear trade-off between two conflicting objectives: total annualized profit and the global warming potential. The most profitable solution economically has an annualized profit of $237 per ton of biomass with an emission of 628 kg CO<inf>2</inf> equivalent per ton of biomass. On the other hand, the most environmentally sustainable solution, while still generating positive income, has an annualized profit of $122 per ton of biomass with an emission of 132 kg CO<inf>2</inf> equivalent per ton of biomass. A second scenario with a case study presented on the palm oil industry in Malaysia has also demonstrated the selection of biomass during feedstock blending when a constraint on biomass feedstock availability is pre-defined. The proposed model is robust for planning bioenergy complex, especially those involving multiple biomass feedstocks. In fact, this study has addressed the research gap in comparison of multiple distinctive pyrolysis processes with respect to multiple palm biomass feedstocks. © 2023, The Author(s).","Biogenic waste; Biomass; Multi-objective optimization; Palm oil; Pyrolysis; Waste-to-energy"
"Khan, O.; Zaheen Khan, M.Z.; Bhatt, B.K.; Alam, M.T.; Tripathi, M.","Khan, Osama (57195406095); Zaheen Khan, Mohd Zaheen (57223315148); Bhatt, Bhupendra Kumar (57226790283); Alam, Md Toufique (57203372926); Tripathi, Manoj (56489857600)","57195406095; 57223315148; 57226790283; 57203372926; 56489857600","Multi-objective optimization of diesel engine performance, vibration and emission parameters employing blends of biodiesel, hydrogen and cerium oxide nanoparticles with the aid of response surface methodology approach","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134523213&partnerID=40&md5=9235902a615770b2305b5c3fc9ae9548","Recent surges in crude oil prices have motivated researchers to find an alternative sustainable fuel called biodiesel from various inedible oils with lower carbo impact on the environment. The research is performed in diesel engine fuelled with blends of biodiesel coupled with cerium oxide nanoparticles and hydrogen content so as to optimize various factors which are responsible for performance, vibration and emission characteristics. Multi-objective optimization is achieved by employing RSM which also examines prime input parameters (engine load, nanoparticle concentration, compression ratio, hydrogen blend percentage and ignition pressure) responsible in varying engine characteristics. Henceforth, blends of Water Hyacinth can be successfully applied in diesel engine with lower environmental impact and enhanced cost effectiveness. Experimentation is performed on the central composite rotating design (CCRD) matrix with 5-level factor. Engine load was applied between 0 and 100%, NPC varied between 0 and 80 ppm, CR ranges between 17 and 19, hydrogen blend percentage varies between 0 and 40% and at a maximum injection pressure of 240 bar. Pareto-optimal conditions achieved for input conditions of 28.68% biofuel blend, 87.88 engine load, 80 ppm NPC, compression ratio of 19 and 194.54 bar infusion pressure were BTE, BSEC, NOx, UBHC and vibration reduction are 33.57%, 0.2550, 461.3002 ppm vol., and 28.08 ppm vol. And 22.21%, respectively. © 2022 Hydrogen Energy Publications LLC","Biodiesel; Hydrogen; Response surface methodology; Vibration levels; Water hyacinth"
"Ashok, A.; Gugulothu, S.K.; Reddy, R.V.; Kolluri, S.C.","Ashok, Athmakuri (58388069800); Gugulothu, S. K. (56168240100); Reddy, Ragireddy Venkat (57320275500); Kolluri, Srinivasa Chalapathi (57915704400)","58388069800; 56168240100; 57320275500; 57915704400","Multi-objective optimisation of engine characteristics of an RCCI diesel engine powered with Jatropha/1-pentanol blend: a Taguchi-fuzzy approach","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139237790&partnerID=40&md5=9c225557cc2b3fdeb79ae0f961ba37c6","Researchers are examining the possibilities for alternative fuel research as a fossil fuel replacement in light of global energy insecurity and other urgent challenges like global warming, severe emissions, and growing industrialization. This research uses 1-pentanol as a low reactivity fuel and Jatropha biodiesel as a high reactivity fuel to explore the reactivity-controlled compression ignition engine characteristics. A water-cooled single-cylinder engine is used in an experiment with varied loads of 25%, 50%, and 75% at a constant speed of 2000 rpm to examine the effects of operational parameters (i.e., (23 bTDC, 25 bTDC, and 27 bTDC) and (400 bar, 500 bar, and 600 bar)). The fuzzy-based Taguchi approach predicts operational parameters, including fuel injection time, fuel injection pressure, and engine load. Utilizing this ideal model, one may increase brake thermal efficiency and braking power while minimizing unburned hydrocarbon and nitrogen oxide emissions. An L20 orthogonal array is used to analyze the effects of various variables on an engine running on B20/1-pentanol fuel, including engine load, fuel injection timing, and fuel injection pressure. Multiple models are generated and verified with the use of experimental findings. Compared to other operating parameters, for reducing oxides of nitrogen, hydrocarbons, and brake-specific energy consumption maximally, engine load of 75%, FIP of 400 bar, and FIT of 23 bTDC are optimal based on the greatest MPCI value of 0.802. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","1-Pentanol; And FIT; Engine load; FIP; Fuzzy; Jatropha; RCCI; Taguchi"
